id,type,source,chapter_id,creator,question
MA0101,SMCQ,MODULE,MA02,admin,"Coordinates of the vertices of a triangle ABC are (12,8),(-2,6) and (6,0) then the correct
statement is-
(A) triangle is right but not isosceles (B) triangle is isosceles but not right (C) triangle is obtuse
(D) the product of the abscissa of the centroid, orthocenter and circumcenter is 160."
MA0102,SMCQ,MODULE,MA02,admin,"Find the value of x_1if the distance between the points (x_1,2) and (3,4) be 8.
$( \mathbf{B} )$ $3\pm \sqrt {15}$
(A) $3\pm 2$ $\sqrt 15$
(D) $2\pm \sqrt 15$
(C) $2\pm 3$ $\sqrt 15$"
MA0103,SMCQ,MODULE,MA02,admin,"If P(1,2), Q(4,6), R(5,7) & S(a, b) are the vertices of a parallelogram PQRS, then :
( A) a= 2, b= 4
$(\mathbf{B})$a$=3,\mathbf{b}=4$ ( D) a= 3, b= 5
(C)a$=2,\mathbf{b}=3$"
MA0104,SMCQ,MODULE,MA02,admin,"The four points whose co-ordinates are (2,1),(1,4),(4,5),(5,2) form:
(A) a rectangle which is not a square
(B) a trapezium which is not a parallelogram
$(\mathbf{C})$ a square
(D) a rhombus which is not a square"
MA0105,SMCQ,MODULE,MA02,admin,"The length of a line segment AB is 10 units. If the coordinates of one extremity are (2,-3) and the abscissa of the other extremity is 10 then the sum of all possible values of the ordinate of the other extremity is -
$(\mathbb{C})12$
(D)-6
(A)3
$(\mathbf{B})-4$"
MA0106,SMCQ,MODULE,MA02,admin,"If A and B are the points (-3,4) and (2,1), then the co-ordinates of the point C on AB




produced such that AC=2BC are:
$$\mathrm{A})\:(2,4)\quad(\mathrm{B})\:(3,7)\quad(\mathrm{C})\:(7,-2)\quad(\mathrm{D})\:\left(-\frac{1}{2},\frac{5}{2}\right)$$"
MA0107,SMCQ,MODULE,MA02,admin,"The orthocenter of the triangle ABC is 'B'and the circumcenter is'S'(a,b).If A is the origin
then the co-ordinates of C are :
$$\mathrm{(B)\left(\frac{a}{2},\frac{b}{2}\right)\quad(C)\left(\sqrt{a^2+b^2},0\right)\quad(D)~none}$$
(A$)\left(2\mathrm{a},2\mathbf{b}\right)$"
MA0108,SMCQ,MODULE,MA02,admin,"A particle begins at the origin and moves successively in the following manner as shown,

1



POINT & STRAIGHT LINE

1/2 unit up,
1/4 unit to the right,
1/16 unit to the right etc.
$$$$
1 unit to the right,
1/8 unit down,


The length of each move is half the length of the previous move and movement continues in the
'zigzag' manner infinitely. The co-ordinates of the point to which the'zigzag' converges is -
$\left(\mathrm{D}\right)\left(2,2/5\right)$
(A) (4/3, 2/3)
$\left(\mathbf{B}\right)\left(4/3,2/5\right)$
(C$)\left(3/2,2/3\right)$"
MA0109,SMCQ,MODULE,MA02,admin,"The medians of a triangle meet at (0,-3) and its two vertices are at (-1,4) and (5,2). Then the
third vertex is at-

$\left(\mathrm{A}\right)\left(4,15\right)$

$\left(\mathbf{B}\right)\left(-4,-15\right)$

(C)(-4,15)

(D)(4,-15)"
MA0110,SMCQ,MODULE,MA02,admin,"If the two vertices of a triangle are (7,2) and (1,6) and its centroid is (4,6) then the coordinate of

the third vertex are (a, b). The value of (a+b), is-

(A)13

$(\mathbf{B})14$

$(\mathbb{C})15$


$(D)16$

$\mathbf{11. \:}$If in triangle ABC, A$\equiv(1,10)$,circumcenter$\equiv\left(-\frac13,\frac23\right)$and orthocenter$\equiv\left(\frac{11}3,\frac43\right)$thenth

co-ordinates of mid-point of side opposite to A is-

$\left(\mathrm{D}\right)\left(1,6\right)$

$\left(\mathbf{B}\right)\left(1,5\right)$

$\left(\mathbf{C}\right)\left(1,-3\right)$

(A$)\left(1,-11/3\right)$

are
<table>
	<tbody>
		<tr>
			<th rowspan=""2"">12.</th>
			<th>Suppose ABC is a triangle with (cosB-sinA, sinB-cosA)can b</th>
			<th>te angles A, B and C. The point whose coordinates he.</th>
		</tr>
		<tr>
			<th>Suppose ABC is a triangle with (cosB-sinA, sinB-cosA)can b (A) first and $2^\mathrm{nd}$ quadrant (C) third and 4$^\mathrm{th}$ quadrant</th>
			<th>te angles A, B and C. The point whose coordinates he- $(\mathbf{B})$ second and the 3$^\mathrm{rd}$ quadrant (D) second quadrant only</th>
		</tr>
		<tr>
			<td>13.</td>
			<td>Consider the points P( 2, - 4) ; Q( 4, 1)  ( A)  form an equilateral triangle $(\mathbf{B})$ form a right angled triangle (C) form an isosceles triangle wh (10) are collinear 1</td>
			<td>${\mathrm{nd~R}}(7,1).{\mathrm{~The~points~P,Q,R~-}}$ not equilateral</td>
		</tr>
		<tr>
			<td rowspan=""2"">14.</td>
			<td>A triangle has rwo or its vertices on the x-axis. If the area of the tr $x+ka+kier$ $is.$</td>
			<td>1.4 and $(L,L)$ in the cartesian plane. Irs thiro Verlex e is 2 square units then the sum of the possible absci</td>
		</tr>
		<tr>
			<td>$(\mathbf{A})-4$ $( \mathbf{B} )$ 0</td>
			<td>(C) 5 (D)6</td>
		</tr>
	</tbody>
</table>
lies



2



POINT & STRAIGHT LINE"
